cluster_id	sim_ave	sim_min	sim_max	size	composed_go
cluster_0191	0.74798	0.32431	1.00000	135	GO:0016779
cluster_0192	0.99455	0.61324	1.00000	1021	GO:0003899;GO:0003677
cluster_0193	0.62381	0.26654	1.00000	47	GO:0016836;GO:0030145
cluster_0194	0.78131	0.31491	1.00000	28	GO:0010333
cluster_0195	0.81680	0.28011	1.00000	540	GO:0030674
cluster_0196	0.61889	0.33493	1.00000	127	GO:0140375;GO:0004888
cluster_0197	0.77602	0.52794	1.00000	26	GO:0016746;GO:0003677;GO:0140096
cluster_0198	0.72938	0.52634	1.00000	16	GO:0098918
cluster_0199	0.81976	0.30556	1.00000	143	GO:0017056
cluster_0200	0.83976	0.28279	1.00000	181	GO:0043495
cluster_0201	0.68324	0.26636	1.00000	143	GO:0030551
cluster_0202	0.86868	0.31379	1.00000	402	GO:0004623;GO:0005509;GO:0005543;GO:0090729
cluster_0203	0.69854	0.28013	1.00000	131	GO:0016616;GO:0003920
cluster_0204	0.93990	0.62392	1.00000	118	GO:0016289
cluster_0205	0.87736	0.57134	1.00000	162	GO:0003964;GO:0003887;GO:0004523;GO:0004190;GO:0003677;GO:0046872;GO:0003723;GO:0005524
cluster_0206	0.75993	0.32813	1.00000	250	GO:0046873
cluster_0207	0.71037	0.33940	1.00000	71	GO:0050661;GO:0051287;GO:0016491
cluster_0208	0.94948	0.44489	1.00000	273	GO:0008881
cluster_0209	0.99900	0.87890	1.00000	481	GO:0004609
cluster_0210	0.87722	0.34644	1.00000	278	GO:0004180;GO:0070008
cluster_0211	0.75962	0.48844	1.00000	98	GO:0003677;GO:0005515;GO:0001067
cluster_0212	0.78097	0.34984	1.00000	227	GO:0016616;GO:0008270
cluster_0213	0.99412	0.76196	1.00000	81	GO:0009922
cluster_0214	0.94282	0.41360	1.00000	816	GO:0004222;GO:0008270
cluster_0215	0.90279	0.40648	1.00000	487	GO:0016705
cluster_0216	0.97080	0.27110	1.00000	666	GO:0020037;GO:0005506;GO:0009055
cluster_0217	0.92780	0.68912	1.00000	31	GO:0008964
cluster_0218	0.73356	0.36965	1.00000	332	GO:0050660
cluster_0219	0.88431	0.32807	1.00000	255	GO:0015929
cluster_0220	0.88040	0.47048	1.00000	799	GO:0044183;GO:0016887;GO:0140657;GO:0005524
